Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
k119_7549_1	BAI64518.1|GT2|	99.6	228	1	0	1	228	33	260	1.6e-126	455.3
k119_8055_1	ATF63192.1|GT4|	99.7	305	1	0	1	305	12	316	4.0e-181	637.1
k119_8493_1	QAT95405.1|GH32|	97.2	178	5	0	1	178	12	189	4.4e-103	377.1
k119_8760_1	CBW15656.1|GT35|	95.0	221	11	0	1	221	248	468	6.4e-120	433.3
k119_8966_1	ANR72626.1|GH2|	98.2	217	4	0	1	217	10	226	3.6e-131	470.7
k119_9661_1	QJX49771.1|GT1|	95.2	207	10	0	1	207	175	381	1.1e-113	412.5
k119_9693_1	VEI55193.1|GH144|	99.1	218	2	0	1	218	144	361	5.9e-110	400.2
k119_9859_1	QCL69508.1|GT30|	98.5	198	3	0	1	198	223	420	3.5e-109	397.5
k119_9954_1	QKL33659.1|GT4|	95.9	221	9	0	1	221	283	503	1.0e-117	426.0
k119_9991_1	AMH87944.1|GH77|	99.5	187	1	0	1	187	150	336	1.9e-112	408.3
k119_10163_1	ASC01897.1|GT30|	97.0	201	6	0	1	201	10	210	1.8e-105	385.2
k119_10306_1	QCL68344.1|CBM48|GH13_9|GH77|	99.4	176	1	0	1	176	1162	1337	2.9e-107	391.0
k119_10326_1	CBA03971.1|GT30|	82.0	217	39	0	1	217	76	292	1.1e-103	379.4
k119_10434_1	AUI53965.1|GH32|	98.2	227	4	0	1	227	116	342	1.0e-136	489.2
k119_10684_1	CBW14577.1|GT30|	98.1	215	4	0	1	215	141	355	1.4e-116	422.2
k119_11217_1	QKI22002.1|GH87|	98.7	230	3	0	1	230	4	233	2.2e-123	444.9
k119_11317_1	CBW15838.1|GT51|	100.0	218	0	0	1	218	424	641	7.5e-121	436.4
k119_11321_1	ALQ40765.1|GT9|	96.1	207	8	0	1	207	158	364	1.3e-106	389.0
k119_11447_1	QKH88129.1|GH95|	100.0	181	0	0	1	181	756	936	3.9e-107	390.6
k119_11800_1	QKH89498.1|GT3|	98.4	188	3	0	1	188	232	419	1.1e-104	382.5
k119_12997_1	QKI22866.1|GH102|	99.1	233	2	0	1	233	162	394	2.2e-131	471.5
k119_13816_1	QCL71585.1|CBM50|	98.6	359	5	0	1	359	1	359	4.3e-206	720.3
k119_13820_1	ALQ37494.1|GT35|	97.4	193	5	0	1	193	288	480	2.0e-109	398.3
k119_14133_1	QKH88934.1|CBM50|GH73|	98.0	197	4	0	1	197	25	221	2.0e-112	408.3
k119_14419_1	BBP08927.1|GT35|	98.1	315	6	0	1	315	317	631	1.5e-175	618.6
k119_14646_1	QKI21616.1|GH23|	98.4	244	4	0	1	244	235	478	2.7e-135	484.6
k119_14779_2	QKI23222.1|GT9|	97.4	227	6	0	1	227	134	360	8.0e-126	453.0
k119_14935_1	AMD94756.1|GH26|	55.0	362	151	6	1	359	1308	1660	1.4e-111	406.4
k119_14998_1	CBW16084.1|GH2|	95.2	229	11	0	1	229	491	719	2.5e-127	458.0
k119_15007_1	ASE17311.1|CE1|	99.6	231	1	0	1	231	104	334	3.8e-131	470.7
k119_15734_1	ASE18412.1|GT2|	99.5	214	1	0	1	214	22	235	4.0e-127	457.2
k119_15874_2	QCL69612.1|GT9|	96.7	209	7	0	1	209	114	322	1.7e-114	415.2
k119_15994_2	QKI22960.1|GT19|	97.7	264	6	0	14	277	1	264	2.3e-143	511.5
k119_16107_1	BBA29407.1|GT35|	100.0	184	0	0	1	184	98	281	9.8e-106	386.0
k119_16165_2	QKI22602.1|GT4|	98.2	217	4	0	1	217	174	390	5.3e-119	430.3
k119_16266_1	ADZ00638.1|GT107|	99.2	238	2	0	1	238	267	504	1.8e-136	488.4
